plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam,frmass
Miconia_theaezans,Euphonia_chlorotica,Am?ncio_&_Melo_(2008),masher,5,7.07,NA,NA
Vassobia_breviflora,Tyrannus_melancholicus,Palacio_et_al.,gulper,5,14.63333333,9.96,0.7784
Vassobia_breviflora,Arremon_flavirostris,Palacio_et_al.,masher,5,8.9,9.96,0.7784
Schefflera_morototoni,Pteroglossus_castanotis,Purifica??o_et_al._(2015),gulper,4.940194715,NA,9.2,0.6
Lacistema_hasslerianum,Saltator_similis,Melo_e_Oliveira_(2009),masher,4.903846154,12.05,5.85,0.115
Miconia_chamissois,Antilophia_galeata,Silva_and_de_Melo,gulper,4.88,7.3,5.4,0.1
Phoradendron_tucumanense,Thraupis_sayaca,Di_Pauli,masher,4.88,12,6.3,0.12
Pera_glabrata,Cyanocorax_chrysops,Gondim_(2002),gulper,4.875,19.5,3.7075,0.0255
Miconia_albicans,Patagioenas_picazuro,Allenspach_e_Dias_(2012),gulper,4.84502924,NA,7.62,0.195
Viscum_album,Turdus_iliacus,Mellado_and_Zamora,gulper,4.82,NA,7.5,NA
Miconia_chamissois,Xolmis_velatus,Am?ncio_&_Melo_(2008),gulper,4.8,NA,5.4,0.1
Ocotea_corymbosa,Cyanocorax_cristatellus,Gondim_(2002),gulper,4.8,18.2,5.7,0.18
Myrsine_coriacea,Myiodynastes_maculatus,de_Jesus_e_Monteiro-Filho_(2007),gulper,4.724409449,15.92,3.262,0.025558333
Pera_glabrata,Antilophia_galeata,Francisco_et_al._(2007),gulper,4.710144928,7.3,3.7075,0.0255
Myrsine_coriacea,Zonotrichia_capensis,Pascotto_(2007),masher,4.705882353,9,3.262,0.025558333
Vassobia_breviflora,Turdus_rufiventris,Palacio_et_al.,gulper,4.66,14.50625,9.96,0.7784
Miconia_irwinii,Elaenia_obscura,Guerra_et_al_(2017),gulper,4.615384615,11.8125,NA,NA
Eugenia_uniflora,Turdus_subalaris,Colussi_e_Prestes_(2011),gulper,4.545454545,13.5,18.95,0.76
Euterpe_edulis,Tityra_cayana,Castro_(2003),gulper,4.545454545,10.9,13.3575,1.4475
Vassobia_breviflora,Saltator_coerulescens,Palacio_et_al.,masher,4.54,NA,9.96,0.7784
Curatella_americana,Brotogeris_chiriri,Pascotto_et_al._(2012),masher,4.523809524,9.9,13.9275,3.9905
Miconia_chamissois,Tyrannus_melancholicus,Am?ncio_&_Melo_(2008),gulper,4.5,14.63333333,5.4,0.1
Plocama_pendula,Sylvia_conspicillata,Nogales_et_al.,gulper,4.5,NA,8.9,NA
Schefflera_morototoni,Turdus_fumigatus,Purifica??o_et_al._(2015),gulper,4.426229508,NA,9.2,0.6
Curatella_americana,Volatinia_jacarina,Pascotto_et_al_(2012),masher,4.418604651,7.8,13.9275,3.9905
Schefflera_morototoni,Cotinga_cayana,Purifica??o_et_al._(2015),gulper,4.405286344,16.9,9.2,0.6
Frangula_alnus,Turdus_merula,Hampe_2001,gulper,4.4,13.5,8,NA
Miconia_chamissois,Gnorimopsar_chopi,Am?ncio_&_Melo_(2008),gulper,4.381067961,17.75,5.4,0.1
Myrsine_laetevirens,Elaenia_albiceps,Blendinger,gulper,4.36,9.2,5.6,0.09
Vassobia_breviflora,Pipraeidea_bonariensis,Palacio_et_al.,masher,4.36,NA,9.96,0.7784
Myrsine_coriacea,Vireo_olivaceus,de_Jesus_e_Monteiro-Filho_(2007),gulper,4.357541899,10.23571429,3.262,0.025558333
Allophylus_edulis,Catharus_ustulatus,Blendinger,gulper,4.35,11.1,9.533,0.455
Euterpe_edulis,Trogon_viridis,Castro_(2003),gulper,4.347826087,23.5,13.3575,1.4475
Schefflera_morototoni,Pteroglossus_inscriptus,Purifica??o_et_al._(2015),gulper,4.323725055,NA,9.2,0.6
Viscum_album,Erithacus_rubecula,Mellado_and_Zamora,gulper,4.31,5.3,7.5,NA
Lindera_benzoin,Hylocichla_mustelina,Malmborg_and_Willson,gulper,4.3,11,9,NA
